data/department,data/season/0,data/occasion/0,data/categories/0,data/categories/1,data/categories/2,data/categories/3,data/categories/4,data/physical IDs/0,data/physical IDs/1,data/physical IDs/2,data/physical IDs/3,data/physical IDs/4,data/curation date,data/description,data/categories/5,data/physical IDs/5,data/season/1,data/occasion/1,data/occasion/2,data/season/2,data/season/3,data/occasion/3,data/categories/6,data/physical IDs/6,data/occasion/4,data/occasion/5,data/occasion/6,data/categories/7,data/physical IDs/7
Mens,fall,nightout,Pants,Shirts,Shoes,,,91zwqsL021L,41W2pZSOQnL,81vMVxvotqL,,,2019-05-06,"Mens Suits & Sport Coats Shirts - Mens suits, sport coats and dress shirts for a sharply dressed business or formal look. Mix and match jackets, pants, ties and dress shirts.",,,winter,casual,,,,,,,,,,,
Mens,summer,,Shirts,Jeans,Jackets & Coats,,,8183i5e0dkL,916AZXhkcQL,41jclAZNBeL,,,2019-05-06,"Mens Pants Shoes Jackets & Coats - Mens pants, shoes, jackets and coats. Build complete outfits by pairing pants with shoes, tops and outerwear. Variety of styles from business to casual.",,,winter,,,fall,,,,,,,,,
Mens,spring,smart-casual,Pants,Shirts,Shoes,,,81bGsWk+X8L,71cvRzjfGhL,716k92-obOL,,,2019-05-06,"Mens Shorts Shirts Shoes - Mens shorts, shirts and shoes for warm weather. Choose from t-shirts, polos, button downs and casual footwear to create comfortable summer outfits.",,,fall,work,,,,,,,,,,,
Mens,summer,nightout,Jackets & Coats,Shirts,,,,91UsTpHHYZL,41W2pZSOQnL,,,,2019-05-06,"Mens Shoes Jackets & Coats Shirts - Mens dress shoes and boots paired with shirts and stylish jackets and coats for versatile looks. Find oxfords, boots, button downs and more. ",,,winter,smart-casual,,spring,fall,,,,,,,,
Mens,winter,formal,Suits & Sport Coats,Pants,Shoes,,,41jclAZNBeL,91T9e8YSslL,81fjf6C94EL,,,2019-05-06,"Mens Shirts Shoes Jackets & Coats - Mens shirts, shoes, jackets and coats allow you to create complete head-to-toe outfits. Options for work, weekends and going out.",,,fall,work,,,,,,,,,,,
Mens,spring,sportswear,Pants,Shoes,Shirts,,,71wKPXCIyAL,81gr9o1V5OL,918Hmjzk4-L,,,2019-05-06,"Mens Suits & Sport Coats Shirts Pants Shoes - Shop coordinated mens suits, sport coats, dress shirts, pants and shoes for polished professional style. Mix and match separates.",,,,,,,,,,,,,,,
Mens,winter,work,Pants,Shirts,Shoes,,,71Aln9xbjFL,A1U0msv4UWL,81GP4zXNCxL,,,2019-05-07,Mens Jackets & Coats Shirts Shoes - Mens outerwear including jackets and coats to pair with casual shirts and shoes. Great for running errands or weekend wear.,,,fall,nightout,,,,,,,,,,,
Mens,spring,formal,Pants,Shoes,,,,816bi-Xc+wL,71jEYKfHcmL,,,,2019-05-07,"Mens Shirts Pants Shoes Belts Jackets & Coats - Mens shirts, pants, shoes, belts and jackets & coats allow you to create complete head-to-toe outfits. Options for work or casual.",,,summer,smart-casual,,,,,,,,,,,
Mens,winter,smart-casual,Jeans,Jackets & Coats,,,,81QPB0rz2HL,61jsY8JhPpL,,,,2019-05-07,Mens Shirts Shoes - Affordable men's shirts in various styles along with casual to dress shoes so you can build versatile looks for any occasion.,,,fall,work,nightout,,,,,,,,,,
Mens,spring,work,Shoes,Pants,,,,81HNWNwV7rL,81PmFjEQiML,,,,2019-05-08,"Mens Jackets & Coats Shirts Pants Shoes - Mens jackets and coats paired with shirts, pants and shoes to create complete outfits for work or weekend wear. Many styles and colors available.",,,summer,casual,,fall,,,,,,,,,
Mens,spring,casual,Jeans,Shirts,,,,A1SB5HU3ANL,81+gkpv6JFL,,,,2019-05-08,Mens Shoes Shirts - Mens dress to casual footwear along with short and long sleeve shirts in various colors and patterns to mix and match.,,,summer,nightout,,,,,,,,,,,
Mens,winter,formal,Suits & Sport Coats,Shoes,,,,91TmSJ8DxZL,81te0fp69LL,,,,2019-05-08,"Mens Pants Belts - Quality men's pants in many styles with belts to provide a perfect fit. Dress pants, jeans, chinos and more sold separately.",,,fall,nightout,,,,,,,,,,,
Mens,winter,nightout,Suits & Sport Coats,Shirts,,,,81ZGmgpit4L,91fluuIrihL,,,,2019-05-08,Mens Jeans Jackets & Coats - Men's jackets and coats that pair perfectly with your favorite jeans. Casual outerwear in various styles and colors.,,,spring,work,formal,fall,,,,,,,,,
Mens,summer,smart-casual,Pants,Shoes,Jackets & Coats,,,91IKQgNuWxL,81j2XxzuefL,91sP+T298aL,,,2019-05-08,Mens Shoes Shirts - Mens dress shoes and sneakers that will match well with short and long sleeve shirts. Shoes and tops sold separately. ,,,winter,sportswear,,spring,fall,,,,,,,,
Mens,spring,casual,Shorts,Shirts,Shoes,,,81Y3j2qksSL,71w9lEUC4bL,71EOVjy+dDL,,,2019-05-08,Mens Shirts Pants - Affordable men's shirts and pants that can be easily mixed and matched to create versatile looks for any occasion.,,,summer,sportswear,,,,,,,,,,,
Mens,summer,smart-casual,Shoes,Jackets & Coats,Shirts,,,81QgGkud5ZL,91pNwfSoy-L,41W2pZSOQnL,,,2019-05-12,"Mens Shirts Suits & Sport Coats Pants Shoes - Build complete professional looks with coordinated mens dress shirts, suits, sport coats, pants and shoes. Many styles and fits available.",,,winter,nightout,work,spring,fall,,,,,,,,
Mens,fall,smart-casual,Shirts,Shoes,Jackets & Coats,,,712Ew9GPOSL,91ZbxrFElkL,91mO3dTma+L,,,2019-05-12,Mens Shoes Pants - Quality men's dress shoes and casual sneakers to match perfectly with any style pants. Shoes and pants sold separately.,,,winter,nightout,casual,,,,,,,,,,
Mens,winter,formal,Suits & Sport Coats,Shirts,Pants,Shoes,,81E751-Lw6L,61Cj14ZjzQL,61ZpvzZUTEL,81B8Ngxs6xL,,2019-05-12,Mens Jackets & Coats Shoes - Stylish men's outerwear including jackets and coats along with dress shoes and boots for versatile looks.,,,fall,work,nightout,,,,,,,,,,
Mens,summer,smart-casual,Jackets & Coats,Shirts,Shoes,,,81E751-Lw6L,81aKL63S5eL,8128x7EQWLL,,,2019-05-12,"Mens Pants Shoes - Men's shoes including oxfords, boots and sneakers to pair with dress pants, chinos, jeans and more. Pants and shoes sold separately.",,,spring,casual,sportswear,fall,,,,,,,,,
Mens,summer,nightout,Shirts,Pants,Shoes,Belts,Jackets & Coats,A1-sJd8BtWL,71dG2NG6eML,61paTe6C+sL,61osVmHYw4L,81rbBtkkzGL,2019-05-14,"Mens Jeans Shirts Shoes Sweaters Jackets & Coats Belts Watches - Complete casual men's outfits including jeans, shirts, shoes, sweaters, jackets, belts and watches. Mix and match separates.",,,winter,work,,spring,fall,,,,,,,,
Mens,fall,sportswear,Shirts,Shoes,,,,815FiC2Or7L,71XZeQfzMqL,,,,2019-05-15,"This product includes men's jeans, shoes, shirts, watches. It is a great basics package for any man's wardrobe.",,,winter,casual,,,,,,,,,,,
Mens,summer,nightout,Jackets & Coats,Shirts,Pants,Shoes,,81Bn8VkDmoL,71eVMWBdrAL,81VjUIO8KCL,71kilxOrhJL,,2019-05-15,"This product includes men's jeans, shirts, shoes, belts, and watches. It has all the essentials like jeans, shirts, shoes and accessories like belts and watches.",,,spring,smart-casual,casual,fall,,,,,,,,,
Mens,winter,nightout,Shoes,Shirts,,,,71LONz4rCCL,8140CEp0koL,,,,2019-05-17,"This product includes men's jeans, shoes, jackets & coats, belts, and watches. It is a perfect cold weather package with jeans, shoes, outerwear like jackets and coats along with accessories. ",,,spring,smart-casual,formal,fall,,,,,,,,,
Mens,,work,Pants,Belts,,,,815If3Pv-QL,61TyzEcFvvL,,,,2019-05-17,"This product includes men's jeans, shoes, sweaters, belts, and jackets & coats. It has jeans, shoes, sweaters for warmth and jackets & coats and belts for a complete cold weather ensemble.",,,,nightout,formal,,,,,,,,,,
Mens,fall,smart-casual,Jeans,Jackets & Coats,,,,81QjrDYq+uL,819+ihAIRqL,,,,2019-05-17,"This product includes men's jeans, shoes, sweaters, belts, and jackets & coats. It has jeans, shoes, sweaters for warmth and jackets & coats and belts for a complete cold weather ensemble.",,,,casual,nightout,,,,,,,,,,
Mens,winter,smart-casual,Shoes,Shirts,,,,71ttf9gJqEL,A1A-rg7v8SL,,,,2019-05-17,"This product includes men's jeans, sweaters, jackets & coats, shoes, belts, and watches. It has sweaters and jackets & coats for warmth along with jeans, shoes, belts and watches for a winter outfit.",,,spring,work,formal,fall,,,,,,,,,
Mens,winter,smart-casual,Shirts,Pants,,,,91niWuHnKkL,81Ku453kb7L,,,,2019-05-17,"This product includes men's jeans, shirts, shoes, jackets & coats, and belts. It is a great package with shirts, jeans, shoes, outerwear like jackets and coats and belts.",,,spring,work,casual,fall,,,,,,,,,
Mens,spring,formal,Shirts,Suits & Sport Coats,Pants,Shoes,,A140Rm+jXCL,A1QrOPb7+YL,815EN-HyNDL,61qd1V+4NSL,,2019-05-20,"This product includes men's jeans, shirts, shoes, jackets & coats, belts, and watches. It has shirts, jeans, shoes, jackets & coats, belts and watches making it a complete outfit.",,,fall,smart-casual,work,,,,,,,,,,
Mens,winter,smart-casual,Shoes,Pants,,,,81FLIwjn67L,81+44juubiL,,,,2019-05-24,"This product includes men's jeans, shirts, shoes, belts, jackets & coats, and watches. It has shirts, jeans, shoes, belts, outerwear like jackets & coats and watches for a full outfit.",,,spring,nightout,work,fall,,formal,,,,,,,
Mens,fall,work,Jackets & Coats,Shoes,,,,81x-xFgtyqL,71s3nwaIrNL,,,,2019-05-26,"This product includes men's jeans, shirts, shoes, belts, jackets & coats, and watches. It has shirts, jeans, shoes, belts, outerwear like jackets & coats and watches for a full outfit.",,,winter,nightout,casual,,,,,,,,,,
Mens,summer,nightout,Pants,Shoes,,,,81toL4pPVXL,81b5x7-4YIL,,,,2019-05-28,"This product includes men's jeans, shirts, shoes, jackets & coats, and watches. It has shirts, jeans, shoes, outerwear like jackets & coats and watches for a complete look. ",,,spring,work,casual,fall,,,,,,,,,
Mens,spring,casual-event,Jeans,Shirts,Shoes,Sweaters,Jackets & Coats,91vVz0wU81L,41gAUDSFKGL,31s7j1EVXGL,41yJMVg0KRL,41MO9ALASYL,2019-06-17,"This product includes men's jeans, sweaters, shoes, jackets & coats, watches, and belts. It has sweaters, shoes, jackets & coats for warmth along with jeans, watches and belts.",Belts,51EyOLNNZUL,summer,casual,,,,,Watches,41ANwyIu9pL,,,,,
Mens,winter,work-casual,Jeans,Shirts,Shoes,Belts,Jackets & Coats,71cmN9LLYIL,61xMVheTXbL,41tH8lSmDpL,41B-Rn6MkML,41TFNsQ4RYL,2019-06-18,"This product includes men's jeans, shirts, shoes, jackets & coats, belts, and watches. It has shirts, jeans, shoes, outerwear like jackets & coats, belts and watches for a full outfit.",Watches,51mRulYsnDL,fall,work,,,,,,,,,,,
Mens,spring,work-casual,Jeans,Shoes,Shirts,Watches,,71S+1HksyNL,31YtLr3bKZL,318rHWM-XSL,51ZHTAAs+eL,,2019-06-18,"This product includes men's jeans, shirts, shoes, watches, jackets & coats, and belts. It has shirts, jeans, shoes, watches, outerwear like jackets & coats and belts for a complete look.",,,fall,casual,,winter,,,,,,,,,
Mens,fall,casual-event,Jeans,Shirts,Shoes,Belts,Watches,81jx1IZQsgL,414SOktP7UL,41iC54+y0uL,417cL8q+bML,31AEfUG0TTL,2019-06-18,"This product includes men's jeans, shirts, jackets & coats, shoes, and belts. It has shirts, jeans, outerwear like jackets & coats, shoes and belts for an outfit.",,,winter,nightout,casual,,,,,,,,,,
Mens,winter,casual-event,Jeans,Shoes,Jackets & Coats,Belts,Watches,81HoznZE5-L,41+KRXOqDzL,31HYpSops6L,411f9OvIHML,41L1yyJzcmL,2019-06-18,"This product includes men's jeans, shoes, shirts, jackets & coats, and watches. It has shirts, jeans, shoes, outerwear like jackets & coats and watches for a complete look.",,,fall,work-casual,work,,,,,,,,,,
Mens,winter,casual-event,Jeans,Shoes,Sweaters,Belts,Jackets & Coats,81syU8zd7iL,41cP4tO6K5L,4117oJv-47L,415vNkflBjL,41rS8vFyjAL,2019-06-18,"This product includes men's jeans, shirts, jackets & coats, belts, watches, and shoes. It has shirts, jeans, outerwear like jackets & coats, accessories like belts, watches and shoes.",,,fall,work,,,,,,,,,,,
Mens,winter,semi-formal,Jeans,Shoes,Sweaters,Belts,Jackets & Coats,81syU8zd7iL,4131kOXL3jL,312IprXwKzL,41EzGVOwFML,417Q2dJTJzL,2019-06-18,"This product includes men's jeans, shoes, shirts, belts, watches, and jackets & coats. It has shirts, jeans, shoes, accessories like belts, watches and outerwear like jackets & coats. ",,,fall,work,nightout,,,,,,,,,,
Mens,winter,casual-event,Jeans,Sweaters,Jackets & Coats,Shoes,Belts,81dgUj+pshL,41ZFbHmMloL,411JvIBuhUL,31DaH7YZ7LL,418Fx2F4P4L,2019-06-18,"This product includes men's jeans, shoes, shirts, belts, watches, and jackets & coats. It has shirts, jeans, shoes, accessories like belts, watches and outerwear like jackets & coats.",Watches,51vQzKenZ9L,fall,work,nightout,,,,,,,,,,
